cqlsh> SELECT * FROM cloudcourse.g2q2 where origin = 'SRQ';

 origin | dest | delay
    SEA |  HNL | 10.33993
    SEA |  MKE |  6.28515
    SEA |  OGD |      206
    SEA |  YKM |  5.37965
    SEA |  MCO |  6.43298
    SEA |  ATL |  7.42368
    SEA |  IAH |  5.67843
    SEA |  LAX |  7.61978
    SEA |  BNA |    8.476
    SEA |  TUS |  8.82418
    SEA |  STL |  7.01113
    SEA |  BOI |  9.21899
    SEA |  BWI | 17.40347
    SEA |  CVG |  3.87874
    SEA |  DSM |       67
    SEA |  PDX |  6.72788
    SEA |  SLC |  6.92928
    SEA |  EWR |  9.44517
    SEA |  MIA |  8.84833
    SEA |  RDM | 13.50769
    SEA |  DCA |  7.16134
    SEA |  MCI |  7.57198
    SEA |  MEM |  4.26022
    SEA |  PSC |  2.65052
    SEA |  PHX |  9.58127
    SEA |  JFK |   8.8773
    SEA |  BOS |  7.22255
    SEA |  LGB |  8.00961
    SEA |  PIH |        1
    SEA |  BUR |  9.16085
    SEA |  DEN |  8.02052
    SEA |  ABQ | 11.18125
    SEA |  PSP |  8.47751
    SEA |  MSY |       34
    SEA |  SJC |  7.70993
    SEA |  MDW |  6.79131
    SEA |  LIH |  5.48108
    SEA |  FAI | 13.56765
    SEA |  RNO |  8.45785
    SEA |  GEG |  7.37594
    SEA |  OAK |  8.54284
    SEA |  DFW |  6.37025
    SEA |  CLT |  6.87566
    SEA |  AUS | 16.54822
    SEA |  ORD |  9.83392
    SEA |  SNA |  5.40625
    SEA |  MFR |       13
    SEA |  ANC | 10.61316
    SEA |  EUG |        0
    SEA |  SMF |  9.48929
    SEA |  IND |  9.16041
    SEA |  IAD |  6.71841
    SEA |  BLI |  5.19825
    SEA |  SAN |   9.5477
    SEA |  LAS |  9.73498
    SEA |  JNU |  10.5713
    SEA |  SIT | 11.25495
    SEA |  SFO | 11.88393
    SEA |  PIT |  6.21818
    SEA |  OGG |  8.20541
    SEA |  KTN | 11.52639
    SEA |  CLE |  5.17017
    SEA |  PHL |  6.56959
    SEA |  DTW |  5.72039

(68 rows)
cqlsh> SELECT * FROM cloudcourse.g2q2 where origin = 'BOS';

 origin | dest | delay
--------+------+----------
    BOS |  CMH | 11.49786
    BOS |  ONT |       -3
    BOS |  TTN | 17.70743
    BOS |  ACY |  9.73016
    BOS |  CLT |  9.45387
    BOS |  TPA | 10.19531
    BOS |  ORF | 12.95039
    BOS |  FLL | 10.56238
    BOS |  JAX | 13.71532
    BOS |  DAY |   8.6137
    BOS |  MCO |  8.68487
    BOS |  JFK | 14.07393
    BOS |  PWM | 10.85493
    BOS |  CAK | 13.04159
    BOS |  ACK |       15
    BOS |  PIT | 10.74089
    BOS |  RIC | 13.68638
    BOS |  PVD | 29.57143
    BOS |  SAN |  11.3472
    BOS |  PHF | 11.51749
    BOS |  BNA |  8.30893
    BOS |  ORD | 10.66453
    BOS |  CVG |  7.84738
    BOS |  SAV | 11.13196
    BOS |  PDX |   6.9835
    BOS |  MYR |  7.27586
    BOS |  IAD | 10.21934
    BOS |  AUS |  1.20871
    BOS |  ISP | 11.36676
    BOS |  SDF | 13.31351
    BOS |  GSO | 12.76773
    BOS |  EWR | 11.91808
    BOS |  BWI | 10.27345
    BOS |  LAS | 13.84204
    BOS |  SWF |       -5
    BOS |  MIA | 10.32238
    BOS |  DCA |  6.25381
    BOS |  MCI | 12.05895
    BOS |  LGB |  5.13618
    BOS |  ATL | 10.72546
    BOS |  STL |  8.82871
    BOS |  CAE | 17.91304
    BOS |  ROC | 10.43301
    BOS |  SEA | 11.16789
    BOS |  MKE |  6.08041
    BOS |  SFO | 10.09901
    BOS |  CLE |  7.61748
    BOS |  IAH |  8.42674
    BOS |  MEM |  7.85881
    BOS |  BGR | 12.66675
    BOS |  BTV |  10.6708
    BOS |  PHL | 10.69199
    BOS |  RDU |  9.76361
    BOS |  MSY |  3.24647
    BOS |  SJU |  7.49795
    BOS |  SLC |  7.60713
    BOS |  BDL |   5.9827
    BOS |  PBI | 11.24627
    BOS |  LGA |  3.05402
    BOS |  DTW |  7.54725
    BOS |  SJC |  6.91084
    BOS |  MSP |  7.37967
    BOS |  HPN | 11.89344
    BOS |  PHX | 11.26688
    BOS |  OMA |       16
    BOS |  RSW |  6.72485
    BOS |  OAK |  5.78321
    BOS |  GGG |        1
    BOS |  ALB |     22.6
    BOS |  SRQ |  8.69767
    BOS |  SYR |  8.28003
    BOS |  LAX |  8.37593
    BOS |  DFW |  7.66905
    BOS |  DEN |  9.95543
    BOS |  MDW |  5.89564
    BOS |  CHS | 11.66975
    BOS |  MDT | 10.25633
    BOS |  BUF |  9.82844
    BOS |  IND |  11.9402
    BOS |  STT |  8.86761

(80 rows)

