ORD	12449332
ATL	11540375
DFW	10799270
LAX	7723573
PHX	6585521
DEN	6273778
DTW	5636614
IAH	5480723
MSP	5199207
SFO	5171018
EWR	5136967
STL	5125331
LAS	4962931
CLT	4824708
LGA	4337159
BOS	4311111
PHL	4079637
PIT	3936217
SLC	3815103
SEA	3736754
MCO	3721844
CVG	3684608
DCA	3464010
BWI	3230757
SAN	2908515
MIA	2734034
CLE	2707067
IAD	2551653
JFK	2512541
TPA	2484368
HOU	2277583
MEM	2271707
BNA	2222688
MDW	2220047
MCI	2207278
OAK	2189291
SJC	2079779
PDX	1989677
RDU	1947963
FLL	1905223
DAL	1801225
MSY	1793222
IND	1559856
SNA	1544796
SMF	1533792
SAT	1523775
AUS	1511782
ONT	1465003
CMH	1432186
ABQ	1429397
BDL	1221538
BUR	1094897
PBI	1005985
JAX	977742
HNL	974186
ELP	969648
RNO	961809
BUF	926147
OKC	909127
TUL	885121
SDF	872529
SJU	868682
MKE	842610
PVD	828295
ORF	813871
TUS	782364
BHM	766049
OMA	765623
RSW	755125
ANC	743456
GSO	736449
DAY	720779
ROC	699506
RIC	676578
SYR	634850
LIT	621755
ALB	551503
COS	512190
GEG	496690
GRR	455854
MHT	451738
BOI	449541
CHS	422856
DSM	419140
ICT	398163
GSP	382481
TYS	381176
JAN	359081
SAV	351617
LBB	326121
CAE	321309
SRQ	319259
MDT	317568
OGG	314415
PWM	306058
HSV	303223
PNS	297985
LGB	296327
MAF	294807
ISP	293444
BTR	284858
MSN	280251
PSP	278347
FAT	259790
LEX	249460
AMA	247873
CID	244688
SHV	244147
HPN	236735
ABE	236094
CRP	231968
SBA	228311
MOB	228138
HRL	218786
BTV	210310
FSD	195130
TLH	194399
FAI	187332
BIL	174710
JNU	167763
XNA	166467
DAB	165764
GRB	163187
MYR	157748
SGF	156574
CAK	154699
FWA	149263
KOA	147652
MLI	144476
MBS	143550
LIH	142206
EUG	139367
CHA	135634
BZN	135243
ROA	133818
MFE	129979
MRY	128873
LAN	128383
MLB	127450
SBN	125917
FAR	123894
AZO	122919
LNK	122764
CRW	116938
GTF	115689
RST	113533
STT	112654
TOL	111879
SWF	110161
AVL	109405
ILM	109041
VPS	108564
FNT	107343
MSO	106435
MFR	105530
BGR	102965
AGS	102541
MGM	102334
RAP	101794
MLU	98078
KTN	97216
GPT	93361
TRI	93102
BIS	91910
EVV	91423
AVP	89469
JAC	87132
FAY	84822
PHF	84477
PIA	83157
SBP	78583
PSC	73760
LFT	73515
BFL	70886
GNV	69124
IDA	68971
ITO	68303
GJT	66766
TVC	65407
FCA	63123
DLH	62742
ERI	55521
LSE	54151
SIT	53904
CMI	52492
DET	52213
MOT	51847
STX	51473
BGM	51033
HLN	50465
CPR	50434
PFN	49960
ATW	47464
EGE	46349
ELM	45783
ACV	45521
GFK	45334
BMI	43808
YUM	43806
GRK	43038
OME	40251
RDM	39431
ABI	39323
OTZ	39072
ACT	38339
CHO	37541
DRO	37500
TYR	37284
SGU	37173
CLL	36851
BET	36840
HDN	36664
CSG	36065
SUN	35773
ITH	34926
SUX	34435
AEX	33812
FSM	33784
HTS	33393
FLG	33154
LRD	33116
MTJ	32869
LAW	32671
SPS	32180
EYW	31607
GUM	30462
SJT	30230
BRO	28597
CDV	28473
WRG	28286
PSG	28254
YAK	28226
CLD	27760
ASE	27272
ORH	26870
EKO	24789
BRW	24669
TWF	24235
MOD	23336
ILE	23192
RDD	23109
SMX	22689
SCC	21798
TXK	21497
PIH	21328
BTM	21328
OAJ	20971
DHN	20700
ADQ	19362
DBQ	18654
OXR	18538
SPN	17968
LYH	17856
GGG	17443
ACY	17267
BPT	16911
BQN	16332
LCH	15793
ABY	15678
GTR	14858
GUC	14602
MCN	14403
VLD	14346
HVN	14260
CIC	14105
CWA	13839
BQK	13697
BLI	13662
COD	13177
SCE	12908
PUB	12853
PIE	12574
MEI	12383
CEC	12340
IYK	11882
DUT	11589
SPI	11436
AKN	11386
GCN	11215
ISO	11122
IPL	11087
MQT	10847
FLO	9888
DLG	9273
UCA	8816
CCR	8145
APF	7507
CDC	7397
EFD	7279
PMD	6579
SCK	6492
TVL	6138
PSE	5522
LWS	5273
VCT	4879
ROR	4415
VIS	3975
TUP	3954
ROP	3877
EAU	3646
ACK	3633
GST	3571
HHH	3547
YKM	3377
LWB	3372
TTN	3358
WYS	3249
RFD	3142
EWN	2549
ALO	2318
ROW	2049
SLE	1764
ILG	1564
PLN	1551
GCC	1492
HKY	1344
TEX	1310
YAP	1299
RKS	1194
ADK	1148
CMX	1059
ANI	895
KSM	882
MKG	788
RHI	782
SOP	636
INL	580
LNY	579
MKK	577
OTH	543
LMT	542
BJI	404
MTH	255
Origin	240
Dest	240
MAZ	239
MIB	178
RDR	92
OGD	25
CYS	14
CKB	14
PVU	13
PIR	8
FMN	8
GLH	4
MKC	3
BFF	3
LAR	2
BFI	2
SKA	1
RCA	1
LBF	1
CBM	1
